,Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Address_Line_5,Postcode,Street_In_Postcode
71,17 EASTGATE,SLEAFORD,NG34 7DW,,,NG34 7DW,Yes
72,6 DOOLITTLE MILL,AMPTHILL,BEDFORD,MK45 2ND,,MK45 2ND,Yes
73,UNIT 13 RIVERSIDE BUSINESS SUITES,AMETHYST ROAD,NEWCASTLE UPON TYNE,,,NE4 7YL,Yes
74,5a Church Street,Coggeshall,COLCHESTER,,,CO6 1TU,Yes
75,RUSTON HOUSE,WATERSIDE SOUTH,LINCOLN,LN5 7FD,,LN5 7FD,No
76,HUNTERS ROAD,,SPITAL TONGUES,NEWCASTLE UPON TYNE,,NE2 4NE,No
77,4/7 UNIT BT B,LYNMOUTH ROAD,NORTH SHIELDS,,,NE29 7TY,No
78,Midwest Business Park,Washway Road,Holbeach,SPALDING,,PE12 8JB,No
79,.,THE OLD CHAPEL,HEXTON,.,HITCHIN,SG5 3HX,No
80,DOCKING FARM - MEADOW,OULTON,NORWICH,,,NR11 6QZ,No
81,UNIT 19,ALLIANCE INDUSTRIAL ESTATE,DARLINGTON,,,DL1 2PA,No
82,20A 1ST & 2ND FLOORS,FREDERICK STREET,SOUTH SHIELDS,,,NE33 5AE,No
83,ASHURST,SOUTHGATE PARK,ORTON SOUTHGATE,PETERBOROUGH,PE2 6YS,PE2 6YS,No
84,8 THE ARCADE,PETERBOROUGH,PE1 1PY,,,PE1 1PY,No
85,CAR PARK,CAMPBELL PARK ROAD,HEBBURN,,,NE31 2SN,No
86,Fornham All Saints,BURY ST. EDMUNDS,,,,IP28 6JH,No
87,FRESH WHARF DEVELOPMENT,HIGHBRIDGE ROAD,BARKING,,,IG11 7BP,No
88,Shop H,Princes Street,HUNTINGDON,,,PE29 3LN,No
89,ORFORD YARD,NORWICH,NR1 3TB,,,NR1 3TB,No
90,17 NEWLANDS,WITHAM,,,,CM8 2AP,No
91,BROOMFIELD GRANGE NURSING HOME,PUDDINGS WOOD LANE,BROOMFIELD,CHELMSFORD,,CM1 7FG,No
92,Land Adjacent to Holly Cottage,,,,,IP8 3JD,No
93,LEMINGTON TRAVELLERS CARAVAN SITE,NEWBURN HAUGH,NEWCASTLE UPON TYNE,,,NE15 8SG,No
94,SITE OFFICE,STATION,,LONDON,,SE13 5FT,No
95,Land Off Plot 8,Drain Bank North,Cowbit,SPALDING,,PE12 6FR,No
96,Units 8a/8b,Unit 2,Riverside Retail Park,NORWICH,,NR1 1WR,No
97,BINSTORE,BRUFF ROAD,IPSWICH,IP2 8EF,,IP2 8EF,No
98,THE PHARMACY,RAVENSWORTH ROAD,GATESHEAD,,,NE11 9AZ,No
99,"OFFICE 13 GND FLR, GROUNDSTAR HSE",FREIGHT VILLAGE,WOOLSINGTON,NEWCASTLE UPON TYNE,,NE13 8BH,No
